,xaxis,yaxis,roomspace,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
108,116.308305,39.920751,42,5800,,1,1,1,1,0,0,1,0,0,1,1
109,116.493655,39.905367,51,6500,1.0,1,0,1,1,0,1,1,0,0,1,1
110,116.351677,39.980567,46,6500,,1,1,1,1,0,0,1,0,0,1,1
111,116.506685,39.902187,70,7500,1.0,1,2,1,1,0,1,1,0,0,1,1
112,116.302075,39.847127,42,4000,1.0,1,1,1,1,0,0,1,0,0,1,1
113,116.51151999999999,39.901436,57,6000,,1,0,1,1,0,0,1,0,0,1,1
114,116.31231000000001,39.971678999999995,46,4800,1.0,1,1,1,0,0,0,1,0,0,1,1
115,116.232119,40.223852,41,3000,1.0,1,0,1,0,0,0,1,0,0,1,1
116,116.458279,39.888187,41,5000,1.0,1,1,1,0,0,0,1,0,0,1,1
117,116.36784499999999,39.935365000000004,62,12500,1.0,1,1,1,0,0,1,1,0,0,1,1
118,116.395716,39.846810999999995,63,5000,1.0,1,1,1,0,0,0,1,0,0,1,1
119,116.483602,39.893412,48,6200,1.0,1,0,1,0,0,1,1,0,0,1,1
120,116.441493,39.863696000000004,41,4900,1.0,1,0,1,0,0,1,1,0,0,1,1
121,116.37159299999999,39.978364,51,6700,1.0,1,1,1,0,0,0,1,0,0,1,1
122,116.34837900000001,39.898284000000004,72,6800,1.0,1,0,1,0,0,1,1,0,0,1,1
123,116.340034,39.885855,34,4600,1.0,1,0,1,0,0,0,1,0,0,1,1
124,116.34828200000001,39.892777,57,5800,1.0,1,0,1,0,0,1,1,0,0,1,0
125,116.37913,39.887761,50,5000,1.0,1,1,1,0,0,0,1,0,0,1,1
126,116.382166,39.843984000000006,53,5100,1.0,1,1,1,0,0,1,1,0,0,1,1
127,116.31485900000001,39.920243,65,7200,1.0,1,1,1,0,0,1,1,0,0,1,1
128,116.381497,39.97775,46,6000,,1,1,1,0,0,0,1,0,0,1,1
129,116.48154,39.918388,54,8600,,1,1,1,0,0,0,1,0,0,1,1
130,116.462122,39.923796,76,17500,1.0,1,0,1,0,0,1,1,0,0,1,1
131,116.64378,39.898047999999996,44,3200,1.0,1,1,1,0,0,0,1,0,0,1,1
132,116.24700800000001,39.906426,55,5500,1.0,1,1,1,0,0,1,1,0,0,1,1
133,116.6512,39.898185999999995,73,4200,1.0,1,1,1,0,0,1,1,0,0,1,0
134,116.329679,39.887968,46,4500,1.0,1,1,1,0,0,0,1,0,0,1,1
135,116.68924399999999,39.873245000000004,42,3200,,1,0,1,0,0,0,1,0,0,1,0
136,116.378925,39.84505,56,5600,1.0,1,0,1,0,0,1,1,0,0,1,1
137,116.381203,39.852992,51,4500,1.0,1,1,1,0,0,0,1,0,0,1,1
138,116.30441499999999,39.918054999999995,36,5100,1.0,1,1,1,0,0,1,1,0,0,1,1
139,116.291418,39.937340999999996,49,5000,,1,1,1,0,0,0,1,0,0,1,1
140,116.37536599999999,39.958063,46,6000,1.0,1,0,1,0,0,0,1,0,0,1,0
141,116.36900200000001,39.857254,34,4200,1.0,1,0,1,0,0,0,1,0,0,1,1
142,116.493333,39.967187,61,8000,1.0,1,0,1,0,0,1,1,0,0,1,1
143,116.435879,39.901965999999994,50,6800,1.0,1,0,1,0,0,1,1,0,0,1,0
144,116.448783,39.894213,37,5500,,1,0,1,0,0,0,1,0,0,1,1
