,names,district,location,xaxis,yaxis,roomspace,orientation,numrooms,height,floors,owner,postdate,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
60,整租 · 华龙美树 1室0厅 4000元,朝阳,管庄,116.58646499999999,39.918172,37,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,19,链家,8天前发布,4000,1.0,1,0,1,0,0,0,1,0,0,1,0
61,知春东里 1室1厅 8000元,海淀,双榆树,116.333734,39.980703000000005,44,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,6,链家,10天前发布,8000,,1,1,1,0,0,0,1,0,0,1,1
62,整租 · 潘家园 华威西里 简装 南向一居室 有钥匙 长租,朝阳,潘家园,116.46003200000001,39.879667,44,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,10天前发布,4500,1.0,1,1,1,0,0,0,1,0,0,1,1
63,牛街西里精装修一居室，业主诚心出租,西城,牛街,116.368316,39.892214,58,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,20,链家,10天前发布,6200,,1,1,1,0,0,0,1,0,0,1,1
64,整租 · 新通国际花园 1室0厅 3900元,通州,梨园,116.679317,39.889108,57,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,28,链家,9天前发布,3900,1.0,1,0,1,0,0,1,1,0,0,1,1
65,整租 ·       双井 精装 南向一居室 拎包入住 看房方便,朝阳,双井,116.454043,39.903712,48,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,6,链家,9天前发布,6000,1.0,1,0,1,0,0,1,1,0,0,1,1
66,整租 ·   和平街十五区精装一居室，业主诚心出租。,朝阳,和平里,116.437104,39.971099,48,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,18,链家,8天前发布,5900,1.0,1,1,1,0,0,1,1,0,0,1,1
67,整租 · 冠英园小区 1室1厅 6800元,西城,官园,116.372422,39.944412,53,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,10,链家,8天前发布,6800,1.0,1,1,1,0,0,0,1,0,0,1,1
68,整租 · 右外东庄 1室1厅 4200元,丰台,北京南站,116.38565600000001,39.875477000000004,43,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,6,链家,8天前发布,4200,1.0,1,1,1,0,0,0,1,0,0,1,1
69,整租 ·  晶都国际 精装修 颐堤港 酒仙桥 将台 798 兆维,朝阳,酒仙桥,116.498241,39.971858000000005,49,西南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,21,链家,8天前发布,5600,1.0,1,0,1,0,0,1,1,0,0,1,0
